"filename", "language", "HTML", "Markdown", "TypeScript", "JSON", "Vue", "JSON with Comments", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\README.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\index.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 0, 1, 3, 25
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\package-lock.json", "JSON", 0, 0, 0, 14359, 0, 0, 0, 0, 0, 1, 14360
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\package.json", "JSON", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\App.vue", "Vue", 0, 0, 0, 0, 59, 0, 0, 0, 2, 4, 65
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\image\global\close.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\image\global\cyberpunk.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\all.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 5
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\constVal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 31, 0, 10, 41
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\cyberpunkTheme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 9, 65
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\darkTheme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 56, 0, 8, 64
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\lightTheme.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 57, 0, 9, 66
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\themeColors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\assets\scss\themeHandler.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 42, 10, 9, 61
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\AdminEdit.vue", "Vue", 0, 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\AdminEditChildren\AddAdmin.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\AdminEditChildren\UpdateAdmin.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\chenzhen\Desktop\CODING\Vue\AhutOj_Vue3\src\components\Admin\ContestEdit.vue", "Vue", 0, 0, 0, 0, 67, 0, 0, 0, 0, 8, 75
